user_id	item_id
2176	2
4160	17
4697	22
10145	5
3914	125
1953	20
10145	17
13756	67
1953	66
9149	281
9149	268
3049	254
11132	1112
1923	220
1923	223
5042	286
9149	280
1953	988
11132	250
13045	892
4981	220
14607	125
4697	164
13045	229
1923	8062
11389	223
14248	311
4981	218
4981	269
11471	125
890	201
3983	121
3983	204
11403	28
187	311
4981	257
11403	163
7011	310
3983	91
4697	283
4500	313
4500	2043
3278	309
4500	254
4697	24
5193	7197
5193	7198
5193	49
1625	313
11026	164
11661	409
13675	218
10429	38
10905	254
6383	149
14239	153
3218	103
3218	104
4500	235
11558	307
10544	307
4130	306
10708	311
2623	174
9971	411
6609	7198
9971	412
11246	411
5404	402
3983	313
3049	3
1281	280
1281	281
1518	313
822	259
3059	429
1518	411
1992	411
11471	460
4470	182
4470	678
3692	125
4470	677
4697	203
4470	676
3172	42
3576	911
4470	705
4470	58
4470	290
12811	222
7322	4085
5774	195
4470	670
4470	696
2023	306
14090	517
12328	855
1923	330
3298	910
6184	508
6184	514
6184	665
7322	602
7021	512
4697	514
4697	629
3914	841
1665	917
4740	989
6228	318
6228	320
6228	658
2120	568
12328	493
10678	552
10678	567
10678	761
10678	785
3278	534
14425	674
14154	602
4697	724
6361	1385
11118	1179
6361	1386
13861	991
372	3406
372	3619
12328	1117
13861	858
6361	1391
11132	574
785	505
9149	1104
13114	565
13114	566
13114	729
13114	733
13114	769
13114	918
13114	1110
13114	1268
13114	1278
13114	1279
13114	3392
372	763
372	784
372	1139
3675	707
14008	1133
1717	639
2315	553
9123	125
9123	311
9123	460
1492	971
6361	1388
6617	763
2465	125
2465	311
2465	460
4740	1000
6383	514
213	508
2100	1134
5411	838
6617	1119
9145	885
1281	3273
1281	3405
2762	503
3059	564
3059	571
2539	99
3298	1173
4588	2058
14460	1099
8998	968
11558	503
3698	306
1661	3276
12800	857
12800	918
3412	887
3049	178
12870	182
14460	766
13404	205
4751	732
1865	1215
3298	1167
3298	1168
3298	1170
3298	1171
3548	906
14026	910
3307	508
14460	1175
1665	567
5515	1112
5515	1124
6617	1360
11652	382
13346	540
5411	1350
6617	1109
9147	222
14629	909
4697	117
8866	911
8971	308
12329	525
13699	1113
7386	222
9005	578
1574	1124
7129	633
11998	492
7322	1008
6361	1369
880	513
4330	222
14460	603
1490	1178
3209	125
6631	589
13861	497
14618	222
2919	222
4130	499
9147	313
3307	506
4130	528
1463	821
7129	821
7808	474
1574	280
2100	852
2100	992
6101	899
4408	508
4697	1142
6631	222
14156	1552
4697	526
4697	3284
9005	786
13683	899
3337	743
6361	1370
6361	1383
6361	1389
8065	307
3501	899
3637	1270
3637	1271
3637	1286
3637	1287
4697	505
5218	574
14035	1018
356	899
3501	526
3501	3190
3637	1258
6774	1429
13683	450
14133	450
14133	522
14133	526
14133	899
3501	450
4981	1429
5146	1429
5348	622
11861	439
356	526
356	814
5146	505
5146	3284
8138	3277
4981	1153
7384	3186
8437	493
9151	639
14401	881
356	1429
3767	513
4500	505
7565	1021
14008	814
14008	1429
14133	881
356	544
5734	1113
6416	1552
6416	1553
14008	526
14008	544
14676	505
11861	907
2871	971
4981	544
5734	1153
5734	3190
5734	3284
6774	701
11861	821
12800	512
2135	1215
4500	1429
4981	259
5734	544
4500	261
4500	585
5734	450
14008	1153
4500	544
10027	639
1340	905
1340	906
4184	222
4500	899
4500	1153
12870	674
12870	4401
430	1296
966	3236
1865	514
11132	575
12870	687
11998	484
356	881
4697	184
11870	306
14567	3627
3637	1343
9358	756
3501	505
5355	447
7544	910
356	450
1678	647
356	3188
1953	412
1953	833
5355	512
356	3284
3492	493
3492	1051
6383	535
6550	535
13551	910
3637	23
3637	24
4470	688
12675	295
12096	1481
5734	814
356	505
1953	163
1953	946
4751	1214
13803	222
356	3190
