item_id	tag_id
0	48
1	36
2	7
3	35
4	35
5	7
6	7
7	35
8	35
9	47
10	7
11	29
12	32
13	29
14	35
15	3
16	29
17	1
18	47
19	47
20	3
21	1
22	5
23	35
24	30
25	7
26	37
27	3
28	7
29	3
30	35
31	30
32	49
33	37
34	35
35	29
36	3
37	37
38	30
39	17
40	49
41	15
42	30
43	19
44	10
45	27
46	7
47	35
48	1
49	27
50	30
51	29
52	17
53	1
54	35
55	1
56	7
57	32
58	35
59	3
60	35
61	45
62	3
63	35
64	7
65	17
66	35
67	35
68	1
69	47
70	42
71	35
72	26
73	21
74	4
75	28
76	21
77	17
78	47
79	26
80	17
81	46
82	35
83	27
84	11
85	42
86	47
87	36
88	20
89	28
90	9
91	21
92	13
93	32
94	38
95	43
96	47
97	41
98	46
99	6
100	35
101	33
102	1
103	35
104	35
105	35
106	35
107	35
108	35
109	19
110	10
111	35
112	21
113	10
114	7
115	8
116	7
117	5
118	35
119	29
120	32
121	32
122	3
123	31
124	35
125	35
126	20
127	14
128	17
129	35
130	35
131	35
132	35
133	7
134	17
135	1
136	35
137	7
138	35
139	1
140	20
141	6
142	17
143	20
144	1
145	17
146	32
147	26
148	7
149	7
150	45
151	1
152	10
153	10
154	17
155	6
156	32
157	1
158	1
159	1
160	31
161	29
162	23
163	25
164	23
165	24
166	7
167	15
168	24
169	7
170	6
171	0
172	47
173	11
174	28
175	33
176	32
177	7
178	43
179	32
180	46
181	31
182	43
183	22
184	7
185	46
186	3
187	33
188	7
189	42
190	31
191	11
192	10
193	46
194	33
195	32
196	32
197	26
198	1
199	33
200	0
201	7
202	28
203	33
204	26
205	1
206	21
207	21
208	35
209	43
210	7
211	42
212	20
213	26
214	10
215	14
216	33
217	46
218	45
219	20
220	28
221	32
222	33
223	5
224	46
225	7
226	26
227	19
228	18
229	13
230	35
231	21
232	19
233	0
234	0
235	32
236	48
237	18
238	0
239	3
240	6
241	25
242	9
243	0
244	17
245	27
246	22
247	28
248	20
249	33
250	17
251	35
252	32
253	32
254	49
255	46
256	46
257	45
258	3
259	24
260	33
261	17
262	35
263	29
264	15
265	6
266	0
267	33
268	32
269	6
270	19
271	27
272	0
273	7
274	21
275	21
276	49
277	21
278	33
279	17
280	1
281	4
282	7
283	35
284	35
285	35
286	27
287	5
288	35
289	47
290	35
291	7
292	35
293	7
294	26
295	29
296	35
297	35
298	19
299	32
300	35
301	47
302	9
303	21
304	10
305	1
306	27
307	32
308	35
309	7
310	21
311	35
312	35
313	7
314	32
315	7
316	8
317	9
318	18
319	7
320	35
321	17
322	1
323	7
324	1
325	7
326	47
327	41
328	27
329	22
330	30
331	42
332	5
333	24
334	19
335	19
336	47
337	37
338	7
339	7
340	27
341	31
342	7
343	35
344	7
345	19
346	32
347	18
348	4
349	32
350	41
351	7
352	35
353	7
354	17
355	7
356	47
357	7
358	3
359	35
360	36
361	41
362	30
363	9
364	35
365	20
366	35
367	35
368	17
369	35
370	29
371	35
372	17
373	35
374	35
375	47
376	35
377	47
378	35
379	35
380	30
381	7
382	7
383	35
384	47
385	35
386	3
387	35
388	27
389	7
390	35
391	17
392	35
393	9
394	30
395	35
396	7
397	7
398	35
399	47
400	35
401	30
402	35
403	35
404	7
405	35
406	1
407	1
408	45
409	7
410	47
411	35
412	35
413	35
414	7
415	19
416	35
417	27
418	35
419	29
420	7
421	7
422	1
423	19
424	7
425	47
426	35
427	7
428	35
429	35
430	35
431	7
432	7
433	7
434	18
435	14
436	35
437	35
438	35
439	35
440	35
441	35
442	19
443	35
444	3
445	7
446	7
447	14
448	3
449	7
450	35
451	35
452	35
453	8
454	35
455	30
456	35
457	35
458	1
459	20
460	17
461	47
462	29
463	19
464	7
465	7
466	35
467	35
468	7
469	35
470	35
471	36
472	1
473	35
474	7
475	47
476	35
477	35
478	35
479	3
480	19
481	7
482	35
483	7
484	35
485	41
486	35
487	47
488	15
489	35
490	35
491	35
492	8
493	35
494	27
495	27
496	47
497	20
498	1
499	47
500	47
501	35
502	7
503	20
504	35
505	19
506	35
507	35
508	9
509	7
510	35
511	35
512	47
513	35
514	35
515	35
516	41
517	35
518	36
519	15
520	17
521	7
522	35
523	3
524	30
525	30
526	2
527	3
528	10
529	3
530	7
531	35
532	35
533	39
534	35
535	47
536	7
537	27
538	7
539	32
540	10
541	39
542	20
543	35
544	18
545	7
546	32
547	47
548	36
549	35
550	7
551	17
552	17
553	36
554	35
555	35
556	39
557	7
558	35
559	35
560	35
561	7
562	35
563	17
564	7
565	35
566	49
567	7
568	35
569	35
570	35
571	35
572	7
573	35
574	3
575	14
576	28
577	36
578	35
579	10
580	30
581	10
582	35
583	14
584	17
585	7
586	7
587	30
588	30
589	47
590	35
591	27
592	35
593	3
594	10
595	35
596	35
597	1
598	45
599	47
600	29
601	7
602	35
603	4
604	35
605	1
606	27
607	47
608	35
609	30
610	20
611	47
612	38
613	36
614	35
615	7
616	47
617	35
618	45
619	47
620	17
621	35
622	39
623	35
624	17
625	47
626	35
627	35
628	35
629	35
630	45
631	39
632	35
633	29
634	35
635	7
636	47
637	30
638	35
639	35
640	7
641	7
642	32
643	35
644	7
645	35
646	30
647	7
648	35
649	35
650	7
651	36
652	47
653	35
654	35
655	1
656	18
657	47
658	1
659	35
660	30
661	1
662	29
663	35
664	47
665	47
666	27
667	30
668	7
669	19
670	7
671	35
672	7
673	35
674	20
675	35
676	35
677	35
678	7
679	35
680	47
681	7
682	35
683	1
684	35
685	35
686	30
687	47
688	9
689	30
690	1
691	35
692	35
693	35
694	47
695	7
696	35
697	20
698	35
699	7
700	30
701	35
702	35
703	7
704	35
705	47
706	35
707	7
708	7
709	35
710	35
711	7
712	47
713	35
714	35
715	7
716	7
717	29
718	35
719	1
720	19
721	35
722	47
723	35
724	35
725	47
726	9
727	3
728	9
729	35
730	47
731	7
732	35
733	30
734	35
735	30
736	47
737	35
738	1
739	35
740	35
741	7
742	1
743	7
744	35
745	1
746	35
747	27
748	36
749	35
750	7
751	47
752	45
753	17
754	20
755	20
756	36
757	27
758	7
759	47
760	9
761	35
762	18
763	1
764	7
765	35
766	21
767	35
768	1
769	35
770	32
771	35
772	35
773	1
774	1
775	1
776	7
777	17
778	32
779	32
780	1
781	1
782	17
783	7
784	21
785	6
786	32
787	0
788	32
789	32
790	7
791	46
792	29
793	26
794	0
795	42
796	10
797	6
798	6
799	10
800	10
801	30
802	26
803	4
804	6
805	32
806	21
807	6
808	17
809	19
810	4
811	7
812	35
813	7
814	7
815	35
816	35
817	47
818	35
819	35
820	35
821	35
822	35
823	27
824	35
825	35
826	19
827	7
828	35
829	35
830	35
831	35
832	35
833	1
834	7
835	35
836	35
837	22
838	35
839	35
840	24
841	35
842	7
843	27
844	35
845	15
846	22
847	19
848	19
849	47
850	19
851	36
852	35
853	3
854	35
855	21
856	22
857	36
858	27
859	1
860	3
861	35
862	7
863	37
864	26
865	35
866	0
867	5
868	32
869	19
870	1
871	17
872	7
873	35
874	44
875	7
876	47
877	35
878	35
879	47
880	47
881	35
882	35
883	7
884	7
885	7
886	7
887	35
888	7
889	1
890	35
891	35
892	27
893	35
894	47
895	35
896	7
897	35
898	35
899	47
900	7
901	27
902	35
903	35
904	7
905	36
906	29
907	1
908	47
909	35
910	0
911	10
912	1
913	6
914	17
915	1
916	47
917	32
918	29
919	47
920	7
921	35
922	1
923	26
924	47
925	37
926	35
927	30
928	49
929	49
930	47
931	29
932	7
933	37
934	35
935	37
936	47
937	47
938	35
939	29
940	47
941	35
942	47
943	27
944	7
945	37
946	29
947	35
948	29
949	14
950	35
951	49
952	35
953	17
954	35
955	7
956	5
957	47
958	7
959	45
960	9
961	35
962	3
963	29
964	20
965	35
966	3
967	41
968	3
969	3
970	27
971	35
972	47
973	7
974	7
975	7
976	27
977	27
978	47
979	35
980	35
981	1
982	21
983	35
984	21
985	27
986	27
987	47
988	47
989	37
990	3
991	27
992	35
993	5
994	3
995	7
996	30
997	49
998	19
999	29
1000	35
1001	7
1002	35
1003	17
1004	6
1005	7
1006	35
1007	35
1008	7
1009	29
1010	35
1011	35
1012	35
1013	17
1014	30
1015	6
1016	37
1017	35
1018	7
1019	1
1020	47
1021	36
1022	35
1023	7
1024	35
1025	35
1026	17
1027	1
1028	42
1029	35
1030	32
1031	7
1032	1
1033	35
1034	47
1035	7
1036	1
1037	1
1038	32
1039	17
1040	35
1041	46
1042	35
1043	7
1044	35
1045	35
1046	35
1047	5
1048	42
1049	7
1050	35
1051	3
1052	35
1053	32
1054	32
1055	1
1056	35
1057	17
1058	32
1059	7
1060	35
1061	17
1062	35
1063	35
1064	3
1065	35
1066	35
1067	18
1068	3
1069	47
1070	29
1071	35
1072	1
1073	1
1074	3
1075	3
1076	7
1077	26
1078	10
1079	29
1080	14
1081	47
1082	47
1083	7
1084	47
1085	47
1086	35
1087	35
1088	35
1089	7
1090	35
1091	47
1092	29
1093	47
1094	35
1095	35
1096	7
1097	35
1098	18
1099	7
1100	7
1101	7
1102	1
1103	19
1104	7
1105	7
1106	36
1107	7
1108	1
1109	35
1110	29
1111	35
1112	35
1113	1
1114	35
1115	29
1116	5
1117	28
1118	1
1119	1
1120	14
1121	35
1122	19
1123	1
1124	7
1125	30
1126	7
1127	3
1128	26
1129	3
1130	14
1131	32
1132	35
1133	35
1134	35
1135	35
1136	19
1137	1
1138	27
1139	21
1140	6
1141	7
1142	7
1143	47
1144	20
1145	20
1146	47
1147	14
1148	47
1149	35
1150	18
1151	7
1152	35
1153	7
1154	45
1155	17
1156	1
1157	1
1158	10
1159	30
1160	30
1161	45
1162	7
1163	7
1164	35
1165	35
1166	30
1167	35
1168	35
1169	17
1170	35
1171	29
1172	1
1173	32
1174	17
1175	45
1176	1
1177	0
1178	41
1179	7
1180	42
1181	7
1182	32
1183	9
1184	29
1185	1
1186	1
1187	35
1188	29
1189	7
1190	7
1191	5
1192	47
1193	32
1194	47
1195	47
1196	19
1197	47
1198	7
1199	47
1200	30
1201	30
1202	7
1203	30
1204	7
1205	35
1206	35
1207	35
1208	35
1209	35
1210	20
1211	35
1212	35
1213	47
1214	35
1215	7
1216	7
1217	32
1218	45
1219	35
1220	19
1221	27
1222	14
1223	48
1224	35
1225	21
1226	7
1227	3
1228	35
1229	35
1230	3
1231	30
1232	27
1233	7
1234	27
1235	42
1236	49
1237	7
1238	3
1239	35
1240	30
1241	47
1242	7
1243	3
1244	3
1245	35
1246	30
1247	35
1248	1
1249	7
1250	7
1251	19
1252	47
1253	35
1254	19
1255	19
1256	7
1257	35
1258	9
1259	47
1260	7
1261	1
1262	30
1263	7
1264	3
1265	7
1266	7
1267	1
1268	1
1269	17
1270	7
1271	35
1272	17
1273	7
1274	35
1275	35
1276	47
1277	35
1278	7
1279	7
1280	47
1281	3
1282	22
1283	7
1284	30
1285	35
1286	29
1287	26
1288	35
1289	35
1290	35
1291	27
1292	35
1293	21
1294	47
1295	3
1296	10
1297	22
1298	47
1299	7
1300	35
1301	3
1302	1
1303	30
1304	27
1305	7
1306	35
1307	35
1308	35
1309	47
1310	1
1311	3
1312	19
1313	35
1314	7
1315	35
1316	35
1317	1
1318	30
1319	7
1320	35
1321	7
1322	45
1323	35
1324	7
1325	9
1326	39
1327	35
1328	7
1329	47
1330	7
1331	35
1332	35
1333	35
1334	1
1335	35
1336	47
1337	35
1338	35
1339	47
1340	3
1341	7
1342	30
1343	1
1344	35
1345	35
1346	35
1347	47
1348	35
1349	35
1350	5
1351	5
1352	24
1353	19
1354	29
1355	47
1356	47
1357	30
1358	7
1359	19
1360	35
1361	7
1362	30
1363	9
1364	35
1365	35
1366	7
1367	35
1368	17
1369	17
1370	35
1371	17
1372	1
1373	35
1374	7
1375	35
1376	7
1377	1
1378	7
1379	35
1380	21
1381	35
1382	29
1383	35
1384	35
1385	7
1386	1
1387	12
1388	27
1389	35
1390	7
1391	1
1392	35
1393	35
1394	35
1395	9
1396	3
1397	35
1398	29
1399	35
1400	35
1401	35
1402	35
1403	7
1404	35
1405	35
1406	7
1407	1
1408	35
1409	29
1410	18
1411	1
1412	16
1413	3
1414	27
1415	7
1416	7
1417	1
1418	29
1419	35
1420	17
1421	17
1422	47
1423	7
1424	30
1425	36
1426	7
1427	17
1428	35
1429	7
1430	29
1431	1
1432	35
1433	35
1434	35
1435	8
1436	35
1437	35
1438	35
1439	35
1440	47
1441	7
1442	35
1443	35
1444	35
1445	1
1446	24
1447	19
1448	7
1449	35
1450	32
1451	7
1452	35
1453	35
1454	46
1455	7
1456	6
1457	35
1458	7
1459	35
1460	35
1461	1
1462	35
1463	49
1464	7
1465	19
1466	1
1467	7
1468	5
1469	35
1470	5
1471	7
1472	35
1473	35
1474	7
1475	7
1476	7
1477	29
1478	9
1479	30
1480	35
1481	35
1482	35
1483	7
1484	17
1485	35
1486	7
1487	35
1488	1
1489	36
1490	10
1491	27
1492	30
1493	35
1494	7
1495	20
1496	35
1497	14
1498	3
1499	30
1500	1
1501	7
1502	19
1503	35
1504	35
1505	14
1506	47
1507	29
1508	35
1509	39
1510	27
1511	35
1512	47
1513	7
1514	9
1515	35
1516	9
1517	47
1518	7
1519	13
1520	30
1521	29
1522	7
1523	20
1524	35
1525	7
1526	30
1527	27
1528	30
1529	1
1530	17
1531	35
1532	46
1533	32
1534	47
1535	17
1536	17
1537	17
1538	35
1539	3
1540	30
1541	29
1542	35
1543	1
1544	10
1545	7
1546	35
1547	35
1548	3
1549	37
1550	29
1551	35
1552	7
1553	35
1554	32
1555	35
1556	7
1557	7
1558	35
1559	35
1560	17
1561	35
1562	3
1563	7
1564	9
1565	44
1566	41
1567	32
1568	35
1569	35
1570	35
1571	35
1572	7
1573	19
1574	7
1575	47
1576	35
1577	7
1578	35
1579	35
1580	21
1581	35
1582	35
1583	35
1584	1
1585	35
1586	35
1587	35
1588	7
1589	46
1590	7
1591	7
1592	35
1593	4
1594	30
1595	47
1596	30
1597	9
1598	47
1599	4
1600	35
1601	35
1602	17
1603	30
1604	35
1605	7
1606	47
1607	30
1608	4
1609	47
1610	7
1611	47
1612	35
1613	29
1614	35
1615	35
1616	35
1617	7
1618	35
1619	35
1620	21
1621	29
1622	35
1623	47
1624	35
1625	27
1626	7
1627	35
1628	7
1629	35
1630	35
1631	35
1632	35
1633	35
1634	7
1635	35
1636	35
1637	47
1638	27
1639	35
1640	35
1641	7
1642	47
1643	35
1644	7
1645	35
1646	35
1647	29
1648	35
1649	35
1650	21
1651	34
1652	32
1653	7
1654	47
1655	7
1656	46
1657	35
1658	35
1659	32
1660	3
1661	35
1662	17
1663	0
1664	22
1665	7
1666	29
1667	35
1668	1
1669	47
1670	19
1671	7
1672	27
1673	35
1674	29
1675	35
1676	7
1677	35
1678	35
1679	30
1680	7
1681	14
1682	47
1683	35
1684	35
1685	35
1686	35
1687	35
1688	1
1689	20
1690	17
1691	7
1692	47
1693	35
1694	35
1695	35
1696	1
1697	35
1698	7
1699	45
1700	35
1701	10
1702	35
1703	49
1704	40
1705	6
1706	4
1707	46
1708	19
1709	1
1710	21
1711	3
1712	35
1713	1
1714	1
1715	20
1716	1
1717	7
1718	32
1719	39
1720	35
1721	17
1722	35
1723	17
1724	17
1725	1
1726	35
1727	35
1728	35
1729	1
1730	29
1731	29
1732	17
1733	24
1734	35
1735	32
1736	24
1737	22
1738	22
1739	35
1740	7
1741	5
1742	32
1743	7
1744	1
1745	18
1746	2
1747	7
1748	35
1749	35
1750	35
1751	20
1752	1
1753	24
1754	1
1755	35
1756	1
1757	21
1758	7
1759	46
1760	35
1761	29
1762	35
1763	35
1764	35
1765	35
1766	35
1767	1
1768	35
1769	24
1770	7
1771	4
1772	1
1773	27
1774	1
1775	30
1776	27
1777	35
1778	27
1779	35
1780	35
1781	7
1782	48
1783	35
1784	30
1785	7
1786	45
1787	20
1788	35
1789	7
1790	3
1791	45
1792	20
1793	7
1794	35
1795	35
1796	17
1797	35
1798	35
1799	1
1800	29
1801	35
1802	29
1803	10
1804	1
1805	19
1806	35
1807	32
1808	35
1809	35
1810	17
1811	47
1812	30
1813	32
1814	35
1815	29
1816	36
1817	27
1818	46
1819	17
1820	6
1821	1
1822	49
1823	35
1824	3
1825	9
1826	7
1827	7
1828	35
1829	35
1830	35
1831	35
1832	35
1833	35
1834	39
1835	47
1836	35
1837	7
1838	20
1839	9
1840	32
1841	21
1842	7
1843	35
1844	29
1845	21
1846	21
1847	7
1848	32
1849	27
1850	20
1851	0
1852	35
1853	29
1854	1
1855	1
1856	1
1857	1
1858	17
1859	32
1860	36
1861	19
1862	20
1863	1
1864	19
1865	21
1866	32
1867	35
1868	32
1869	17
1870	35
1871	17
1872	1
1873	46
1874	1
1875	17
1876	9
1877	17
1878	7
1879	9
1880	9
1881	3
1882	35
1883	24
1884	9
1885	35
1886	36
1887	45
1888	35
1889	35
1890	32
1891	7
1892	47
1893	4
1894	7
1895	7
1896	7
1897	35
1898	7
1899	35
1900	35
1901	35
1902	17
1903	7
1904	35
1905	32
1906	35
1907	35
1908	35
1909	35
1910	17
1911	32
1912	35
1913	7
1914	35
1915	32
1916	35
1917	35
1918	1
1919	35
1920	35
1921	29
1922	47
1923	18
1924	9
1925	7
1926	7
1927	21
1928	29
1929	29
1930	47
1931	29
1932	7
1933	3
1934	22
1935	45
1936	35
1937	32
1938	35
1939	17
1940	46
1941	32
1942	27
1943	35
1944	30
1945	9
1946	42
1947	45
1948	35
1949	19
1950	1
1951	44
1952	17
1953	1
1954	7
1955	29
1956	3
1957	35
1958	29
1959	20
1960	35
1961	35
1962	17
1963	46
1964	30
1965	21
1966	7
1967	11
1968	35
1969	32
1970	21
1971	10
1972	29
1973	7
1974	47
1975	7
1976	49
1977	1
1978	30
1979	7
1980	7
1981	35
1982	30
1983	29
1984	35
1985	7
1986	35
1987	1
1988	35
1989	1
1990	35
1991	35
1992	35
1993	35
1994	35
1995	47
1996	21
1997	35
1998	9
1999	27
2000	7
2001	30
2002	35
2003	30
2004	29
2005	9
2006	14
2007	30
2008	38
2009	41
2010	30
2011	47
2012	30
2013	1
2014	10
2015	20
2016	1
2017	27
2018	3
2019	20
2020	1
2021	10
2022	35
2023	30
2024	47
2025	47
2026	20
2027	17
2028	47
2029	30
2030	7
2031	35
2032	7
2033	7
2034	35
2035	35
2036	7
2037	47
2038	35
2039	35
2040	35
2041	5
2042	29
2043	20
2044	35
2045	7
2046	3
2047	27
2048	35
2049	7
2050	35
2051	32
2052	29
2053	35
2054	35
2055	7
2056	35
2057	47
2058	10
2059	7
2060	35
2061	7
2062	35
2063	7
2064	35
2065	7
2066	1
2067	20
2068	35
2069	27
2070	1
2071	35
2072	46
2073	35
2074	35
2075	1
2076	35
2077	17
2078	32
2079	35
2080	35
2081	35
2082	32
2083	35
2084	35
2085	17
2086	35
2087	47
2088	47
2089	7
2090	10
2091	6
2092	35
2093	9
2094	28
2095	26
2096	28
2097	17
2098	32
2099	3
2100	35
2101	7
2102	45
2103	7
2104	7
2105	7
2106	7
2107	1
2108	7
2109	32
2110	35
2111	45
2112	7
2113	47
2114	35
2115	19
2116	35
2117	35
2118	35
2119	7
2120	35
2121	49
2122	27
2123	3
2124	7
2125	4
2126	7
2127	35
2128	35
2129	35
2130	35
2131	47
2132	17
2133	1
2134	14
2135	30
2136	35
2137	35
2138	47
2139	35
2140	35
2141	7
2142	7
2143	18
2144	35
2145	10
2146	29
2147	42
2148	17
2149	7
2150	26
2151	7
2152	17
2153	7
2154	35
2155	20
2156	35
2157	29
2158	35
2159	35
2160	35
2161	35
2162	6
2163	35
2164	30
2165	35
2166	19
2167	35
2168	27
2169	47
2170	1
2171	35
2172	7
2173	14
2174	35
2175	10
2176	19
2177	21
2178	47
2179	35
2180	35
2181	7
2182	7
2183	35
2184	1
2185	21
2186	21
2187	35
2188	29
2189	32
2190	46
2191	21
2192	35
2193	1
2194	11
2195	35
2196	35
2197	17
2198	9
2199	47
2200	29
2201	19
2202	10
2203	29
2204	18
2205	7
2206	7
2207	35
2208	7
2209	27
2210	41
2211	35
2212	35
2213	21
2214	35
2215	7
2216	7
2217	21
2218	39
2219	7
2220	3
2221	7
2222	29
2223	7
2224	1
2225	26
2226	27
2227	1
2228	46
2229	21
2230	35
2231	29
2232	9
2233	35
2234	3
2235	30
2236	35
2237	1
2238	17
2239	35
2240	47
2241	7
2242	35
2243	17
2244	27
2245	30
2246	49
2247	8
2248	29
2249	17
2250	36
2251	35
2252	35
2253	47
2254	20
2255	27
2256	35
2257	1
2258	7
2259	7
2260	35
2261	26
2262	7
2263	46
2264	32
2265	1
2266	32
2267	32
2268	7
2269	1
2270	46
2271	49
2272	35
2273	7
2274	19
2275	32
2276	7
2277	35
2278	13
2279	35
2280	47
2281	29
2282	35
2283	35
2284	35
2285	14
2286	35
2287	1
2288	3
2289	35
2290	40
2291	35
2292	7
2293	35
2294	7
2295	35
2296	35
2297	35
2298	7
2299	35
2300	35
2301	19
2302	35
2303	7
2304	35
